"Deaths registered weekly, by sex and age"
"Topic: |Deaths"
""
"Age, 31 December";"Total";"Total";"Total";"0 to 64 years";"0 to 64 years";"0 to 64 years";"65 to 79 years";"65 to 79 years";"65 to 79 years";"80 years or older";"80 years or older";"80 years or older"
"Sex";"Total male and female";"Male";"Female";"Total male and female";"Male";"Female";"Total male and female";"Male";"Female";"Total male and female";"Male";"Female"
"Periods";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"1997 week 52";"2595";"1216";"1379";"464";"295";"169";"902";"491";"411";"1229";"430";"799"
"1997 week 53 (3 days)";"1124";"537";"587";"192";"120";"72";"413";"245";"168";"519";"172";"347"
"1998 week 1 (4 days)";"1551";"768";"783";"270";"165";"105";"531";"310";"221";"750";"293";"457"
"1998 week 2";"2558";"1257";"1301";"432";"260";"172";"804";"494";"310";"1322";"503";"819"
"1998 week 3";"2418";"1201";"1217";"451";"284";"167";"811";"474";"337";"1156";"443";"713"
"1998 week 4";"2530";"1250";"1280";"475";"299";"176";"846";"492";"354";"1209";"459";"750"
"1998 week 5";"2691";"1300";"1391";"447";"256";"191";"918";"546";"372";"1326";"498";"828"
"1998 week 6";"2615";"1274";"1341";"452";"290";"162";"918";"526";"392";"1245";"458";"787"
"1998 week 7";"2695";"1345";"1350";"464";"295";"169";"927";"571";"356";"1304";"479";"825"
"1998 week 8";"2719";"1393";"1326";"477";"290";"187";"951";"592";"359";"1291";"511";"780"
"1998 week 9";"2627";"1318";"1309";"533";"329";"204";"889";"526";"363";"1205";"463";"742"
"1998 week 10";"2812";"1449";"1363";"510";"328";"182";"999";"605";"394";"1303";"516";"787"
"1998 week 11";"2876";"1431";"1445";"523";"324";"199";"992";"614";"378";"1361";"493";"868"
"1998 week 12";"2991";"1470";"1521";"514";"311";"203";"1043";"603";"440";"1434";"556";"878"
"1998 week 13";"2984";"1463";"1521";"513";"311";"202";"1022";"593";"429";"1449";"559";"890"
"1998 week 14";"3107";"1531";"1576";"540";"343";"197";"1061";"636";"425";"1506";"552";"954"
"1998 week 15";"2910";"1441";"1469";"512";"292";"220";"1035";"629";"406";"1363";"520";"843"
"1998 week 16";"2900";"1457";"1443";"519";"351";"168";"1036";"624";"412";"1345";"482";"863"
"1998 week 17";"2768";"1393";"1375";"442";"259";"183";"980";"600";"380";"1346";"534";"812"
"1998 week 18";"2692";"1300";"1392";"497";"296";"201";"908";"545";"363";"1287";"459";"828"
"1998 week 19";"2598";"1300";"1298";"494";"296";"198";"892";"542";"350";"1212";"462";"750"
"1998 week 20";"2826";"1365";"1461";"491";"307";"184";"977";"567";"410";"1358";"491";"867"
"1998 week 21";"2588";"1317";"1271";"475";"309";"166";"884";"549";"335";"1229";"459";"770"
"1998 week 22";"2505";"1234";"1271";"516";"308";"208";"887";"512";"375";"1102";"414";"688"
"1998 week 23";"2368";"1209";"1159";"450";"275";"175";"828";"506";"322";"1090";"428";"662"
"1998 week 24";"2383";"1242";"1141";"487";"321";"166";"840";"537";"303";"1056";"384";"672"
"1998 week 25";"2545";"1256";"1289";"534";"341";"193";"882";"517";"365";"1129";"398";"731"
"1998 week 26";"2456";"1191";"1265";"461";"282";"179";"862";"506";"356";"1133";"403";"730"
"1998 week 27";"2451";"1225";"1226";"476";"294";"182";"882";"532";"350";"1093";"399";"694"
"1998 week 28";"2456";"1254";"1202";"507";"313";"194";"849";"528";"321";"1100";"413";"687"
"1998 week 29";"2408";"1234";"1174";"475";"306";"169";"872";"520";"352";"1061";"408";"653"
"1998 week 30";"2588";"1278";"1310";"496";"327";"169";"889";"513";"376";"1203";"438";"765"
"1998 week 31";"2409";"1128";"1281";"492";"285";"207";"803";"478";"325";"1114";"365";"749"
"1998 week 32";"2450";"1199";"1251";"472";"305";"167";"840";"492";"348";"1138";"402";"736"
"1998 week 33";"2514";"1228";"1286";"515";"319";"196";"826";"472";"354";"1173";"437";"736"
"1998 week 34";"2399";"1164";"1235";"488";"289";"199";"862";"512";"350";"1049";"363";"686"
"1998 week 35";"2343";"1197";"1146";"503";"328";"175";"816";"486";"330";"1024";"383";"641"
"1998 week 36";"2478";"1210";"1268";"513";"303";"210";"853";"503";"350";"1112";"404";"708"
"1998 week 37";"2430";"1189";"1241";"458";"294";"164";"868";"501";"367";"1104";"394";"710"
"1998 week 38";"2496";"1233";"1263";"520";"338";"182";"906";"516";"390";"1070";"379";"691"
"1998 week 39";"2524";"1270";"1254";"502";"318";"184";"902";"537";"365";"1120";"415";"705"
"1998 week 40";"2471";"1236";"1235";"506";"308";"198";"885";"563";"322";"1080";"365";"715"
"1998 week 41";"2484";"1195";"1289";"464";"256";"208";"863";"514";"349";"1157";"425";"732"
"1998 week 42";"2623";"1329";"1294";"506";"315";"191";"935";"583";"352";"1182";"431";"751"
"1998 week 43";"2537";"1277";"1260";"511";"330";"181";"895";"524";"371";"1131";"423";"708"
"1998 week 44";"2453";"1249";"1204";"523";"340";"183";"862";"520";"342";"1068";"389";"679"
"1998 week 45";"2570";"1257";"1313";"492";"298";"194";"915";"520";"395";"1163";"439";"724"
"1998 week 46";"2621";"1339";"1282";"503";"316";"187";"963";"569";"394";"1155";"454";"701"
"1998 week 47";"2697";"1365";"1332";"538";"346";"192";"968";"570";"398";"1191";"449";"742"
"1998 week 48";"2713";"1319";"1394";"523";"312";"211";"984";"580";"404";"1206";"427";"779"
"1998 week 49";"2866";"1428";"1438";"537";"342";"195";"1019";"613";"406";"1310";"473";"837"
"1998 week 50";"3034";"1474";"1560";"557";"325";"232";"1056";"633";"423";"1421";"516";"905"
"1998 week 51";"3058";"1476";"1582";"592";"358";"234";"1040";"620";"420";"1426";"498";"928"
"1998 week 52";"2964";"1474";"1490";"557";"347";"210";"1002";"587";"415";"1405";"540";"865"
"1998 week 53 (4 days)";"1732";"827";"905";"326";"209";"117";"587";"342";"245";"819";"276";"543"
"1999 week 0 (3 days)";"1250";"626";"624";"203";"137";"66";"410";"242";"168";"637";"247";"390"
"1999 week 1";"3106";"1479";"1627";"537";"327";"210";"965";"570";"395";"1604";"582";"1022"
"1999 week 2";"3005";"1453";"1552";"529";"308";"221";"981";"579";"402";"1495";"566";"929"
"1999 week 3";"2918";"1413";"1505";"527";"320";"207";"949";"543";"406";"1442";"550";"892"
"1999 week 4";"2866";"1433";"1433";"502";"301";"201";"1024";"620";"404";"1340";"512";"828"
"1999 week 5";"2972";"1451";"1521";"523";"324";"199";"988";"573";"415";"1461";"554";"907"
"1999 week 6";"3105";"1488";"1617";"509";"307";"202";"1062";"628";"434";"1534";"553";"981"
"1999 week 7";"3123";"1521";"1602";"507";"314";"193";"1094";"623";"471";"1522";"584";"938"
"1999 week 8";"3134";"1531";"1603";"495";"314";"181";"1016";"622";"394";"1623";"595";"1028"
"1999 week 9";"3241";"1625";"1616";"516";"310";"206";"1113";"656";"457";"1612";"659";"953"
"1999 week 10";"3078";"1477";"1601";"529";"322";"207";"1019";"597";"422";"1530";"558";"972"
"1999 week 11";"2797";"1442";"1355";"511";"320";"191";"949";"592";"357";"1337";"530";"807"
"1999 week 12";"2824";"1348";"1476";"515";"308";"207";"948";"553";"395";"1361";"487";"874"
"1999 week 13";"2713";"1346";"1367";"511";"309";"202";"906";"557";"349";"1296";"480";"816"
"1999 week 14";"2671";"1327";"1344";"460";"281";"179";"930";"561";"369";"1281";"485";"796"
"1999 week 15";"2533";"1245";"1288";"467";"284";"183";"899";"540";"359";"1167";"421";"746"
"1999 week 16";"2646";"1330";"1316";"491";"314";"177";"954";"573";"381";"1201";"443";"758"
"1999 week 17";"2636";"1337";"1299";"514";"312";"202";"926";"569";"357";"1196";"456";"740"
"1999 week 18";"2674";"1328";"1346";"488";"296";"192";"969";"585";"384";"1217";"447";"770"
"1999 week 19";"2507";"1223";"1284";"522";"313";"209";"832";"496";"336";"1153";"414";"739"
"1999 week 20";"2589";"1280";"1309";"530";"327";"203";"881";"514";"367";"1178";"439";"739"
"1999 week 21";"2561";"1234";"1327";"463";"262";"201";"908";"531";"377";"1190";"441";"749"
"1999 week 22";"2534";"1243";"1291";"490";"308";"182";"886";"537";"349";"1158";"398";"760"
"1999 week 23";"2575";"1248";"1327";"522";"316";"206";"900";"517";"383";"1153";"415";"738"
"1999 week 24";"2583";"1260";"1323";"493";"315";"178";"928";"539";"389";"1162";"406";"756"
"1999 week 25";"2462";"1260";"1202";"487";"319";"168";"898";"545";"353";"1077";"396";"681"
"1999 week 26";"2630";"1256";"1374";"552";"316";"236";"911";"530";"381";"1167";"410";"757"
"1999 week 27";"2485";"1225";"1260";"475";"278";"197";"840";"506";"334";"1170";"441";"729"
"1999 week 28";"2611";"1281";"1330";"488";"273";"215";"904";"555";"349";"1219";"453";"766"
"1999 week 29";"2548";"1252";"1296";"464";"289";"175";"879";"519";"360";"1205";"444";"761"
"1999 week 30";"2486";"1212";"1274";"506";"330";"176";"835";"487";"348";"1145";"395";"750"
"1999 week 31";"2753";"1297";"1456";"514";"307";"207";"919";"525";"394";"1320";"465";"855"
"1999 week 32";"2452";"1186";"1266";"509";"292";"217";"824";"498";"326";"1119";"396";"723"
"1999 week 33";"2450";"1160";"1290";"527";"310";"217";"866";"525";"341";"1057";"325";"732"
"1999 week 34";"2571";"1258";"1313";"566";"333";"233";"873";"527";"346";"1132";"398";"734"
"1999 week 35";"2459";"1219";"1240";"486";"309";"177";"871";"511";"360";"1102";"399";"703"
"1999 week 36";"2501";"1280";"1221";"503";"327";"176";"883";"530";"353";"1115";"423";"692"
"1999 week 37";"2527";"1232";"1295";"512";"319";"193";"847";"499";"348";"1168";"414";"754"
